City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.9533,-71.3436,51.53,87,0,3.44,CL,1627773582
Saskylakh,71.9167,114.0833,73.0,38,0,8.75,RU,1627772996
Hofn,64.2539,-15.2082,51.01,90,21,7.43,IS,1627772991
Codrington,-38.2667,141.9667,44.56,88,27,8.14,AU,1627773429
Vicuña,-30.0319,-70.7081,44.33,31,60,1.57,CL,1627773583
Busselton,-33.65,115.3333,45.09,72,91,28.92,AU,1627773583
New Norfolk,-42.7826,147.0587,46.92,54,11,5.19,AU,1627773583
Nikolskoye,59.7035,30.7861,62.49,93,36,5.88,RU,1627773392
Mvomero,-6.25,38.6667,68.86,90,77,3.56,TZ,1627773584
Hobart,-42.8794,147.3294,46.26,72,75,5.99,AU,1627773286
Laguna,38.421,-121.4238,103.24,28,1,7.0,US,1627773450
Saint-Philippe,-21.3585,55.7679,65.75,84,36,10.96,RE,1627773584
Poum,-20.2333,164.0167,69.78,56,19,17.58,NC,1627773507
Kushiro,42.975,144.3747,72.55,94,75,10.36,JP,1627773585
Kibakwe,-6.7167,36.3667,59.41,73,38,4.05,TZ,1627773585
Bambanglipuro,-7.95,110.2833,76.19,84,91,11.21,ID,1627773586
George Town,5.4112,100.3354,78.73,93,20,2.3,MY,1627773569
Berlevåg,70.8578,29.0864,48.42,92,100,8.1,NO,1627773586
Leningradskiy,69.3833,178.4167,34.36,90,100,16.71,RU,1627773030
Atuona,-9.8,-139.0333,76.89,69,41,13.6,PF,1627773586
Pevek,69.7008,170.3133,36.81,78,94,8.37,RU,1627772997
São João da Barra,-21.6403,-41.0511,66.76,62,99,10.83,BR,1627772828
Ahipara,-35.1667,173.1667,58.39,64,9,5.26,NZ,1627773052
Topaowan,30.67,112.6895,80.8,84,0,2.55,CN,1627773587
Hvolsvollur,63.7533,-20.2243,52.81,90,98,2.8,IS,1627773587
Hudiksvall,61.729,17.1036,58.55,95,100,0.43,SE,1627773588
Cairns,-16.9167,145.7667,76.95,79,37,4.61,AU,1627773506
Ushuaia,-54.8,-68.3,40.66,75,75,18.41,AR,1627773304
Buchanan,5.8808,-10.0467,75.92,88,88,8.97,LR,1627773588
Kencong,-8.2833,113.3667,73.0,88,64,1.99,ID,1627773589
Souillac,-20.5167,57.5167,69.37,81,12,12.71,MU,1627772998
Punta Arenas,-53.15,-70.9167,39.31,65,0,13.8,CL,1627773453
Bac Lieu,9.285,105.7244,78.42,88,75,10.58,VN,1627773590
Albany,42.6001,-73.9662,72.12,55,43,6.24,US,1627773293
Aklavik,68.2191,-135.0107,78.44,37,91,15.19,CA,1627773043
Nyurba,63.2842,118.3319,67.26,48,3,2.33,RU,1627773590
Puerto Ayora,-0.7393,-90.3518,71.55,89,45,5.99,EC,1627773591
Padang,-0.9492,100.3543,77.05,87,100,3.38,ID,1627773591
Jamestown,42.097,-79.2353,69.37,63,1,5.03,US,1627773548
Terney,45.0503,136.6092,69.12,95,100,8.52,RU,1627773591
Eureka,40.8021,-124.1637,70.12,76,71,5.01,US,1627773592
Rikitea,-23.1203,-134.9692,70.5,72,11,11.41,PF,1627773592
Sitka,57.0531,-135.33,64.29,77,75,6.91,US,1627773005
Dikson,73.5069,80.5464,43.23,99,100,13.47,RU,1627773019
Upernavik,72.7868,-56.1549,43.39,77,100,3.69,GL,1627773448
Diego de Almagro,-26.3667,-70.05,63.25,30,0,2.08,CL,1627773593
Kozhevnikovo,56.2589,83.9714,61.25,65,96,5.46,RU,1627773593
Yulara,-25.2406,130.9889,53.44,82,28,0.0,AU,1627773006
Somerset East,-32.7217,25.588,58.73,15,28,8.57,ZA,1627773594
Bathsheba,13.2167,-59.5167,83.01,78,75,14.97,BB,1627773029
Bredasdorp,-34.5322,20.0403,53.28,94,100,3.44,ZA,1627773594
Bandrele,-12.9067,45.1914,76.75,69,20,18.41,YT,1627773594
Hermanus,-34.4187,19.2345,53.91,88,100,6.02,ZA,1627773430
Port Elizabeth,-33.918,25.5701,50.29,71,0,5.75,ZA,1627773442
Murmino,54.6036,40.0544,62.31,69,70,6.17,RU,1627773595
Teguise,29.0605,-13.564,68.22,78,20,26.46,ES,1627773595
Yellowknife,62.456,-114.3525,82.92,44,20,10.36,CA,1627773596
Bloomsburg,41.0037,-76.4549,77.72,66,0,2.53,US,1627773398
Te Anau,-45.4167,167.7167,47.89,96,99,1.59,NZ,1627773042
Qian’an,44.9932,124.0581,64.24,96,100,12.1,CN,1627773596
Goderich,43.7501,-81.7165,73.9,64,86,6.91,CA,1627773597
Salgueiro,-8.0742,-39.1192,72.16,74,95,23.13,BR,1627773597
Talara,-4.5772,-81.2719,68.76,77,0,13.8,PE,1627773597
Kaitangata,-46.2817,169.8464,49.23,96,100,2.77,NZ,1627773598
Okha,53.5739,142.9478,51.33,81,100,2.13,RU,1627773598
Lata,40.1629,-8.3327,59.05,97,14,1.99,PT,1627773016
Cape Town,-33.9258,18.4232,55.89,96,75,0.0,ZA,1627773599
Lexington Park,38.2668,-76.4538,78.46,70,1,4.61,US,1627773348
Shetpe,44.1667,52.1167,79.88,29,28,5.28,KZ,1627773599
Bluff,-46.6,168.3333,48.79,93,100,2.06,NZ,1627773599
Airai,-8.9266,125.4092,61.25,74,57,2.93,TL,1627773600
Novikovo,51.1537,37.8879,69.1,58,0,2.57,RU,1627773600
Avarua,-21.2078,-159.775,78.85,69,75,8.05,CK,1627773600
Aras,42.5617,-2.356,55.06,72,20,8.05,ES,1627773601
Manacor,39.5696,3.2096,73.51,86,35,6.17,ES,1627773601
Longyearbyen,78.2186,15.6401,44.44,70,75,10.36,SJ,1627773601
Tura,25.5198,90.2201,73.81,99,100,3.36,IN,1627773611
Mahon,39.8885,4.2658,64.96,88,75,18.41,ES,1627773612
Pandamatenga,-18.5278,25.627,54.57,52,0,2.1,BW,1627773612
Soe,-9.8607,124.284,66.18,81,16,2.8,ID,1627773613
Port Lincoln,-34.7333,135.8667,50.23,78,3,8.59,AU,1627773052
Cockburn Town,21.4612,-71.1419,84.16,74,40,11.5,TC,1627773613
Baruun-Urt,46.6806,113.2792,56.39,63,1,7.43,MN,1627773613
Qaqortoq,60.7167,-46.0333,54.1,82,76,6.6,GL,1627773614
Tuktoyaktuk,69.4541,-133.0374,62.6,77,75,3.44,CA,1627773478
Binzhou,37.3667,118.0167,71.64,93,100,10.96,CN,1627773614
Cedral,23.8,-100.7333,82.35,31,20,2.37,MX,1627773614
Fortuna,40.5982,-124.1573,91.18,83,40,14.97,US,1627773414
Nelson Bay,-32.7167,152.15,75.76,72,0,6.82,AU,1627773615
Saint George,37.1041,-113.5841,92.53,35,1,20.71,US,1627773615
Dudinka,69.4058,86.1778,51.35,90,53,14.29,RU,1627773616
Clyde River,70.4692,-68.5914,39.43,86,100,3.51,CA,1627773026
Yerbogachën,61.2767,108.0108,61.23,55,3,6.91,RU,1627773069
Chokurdakh,70.6333,147.9167,41.22,77,100,20.6,RU,1627773616
Moose Factory,51.2585,-80.6094,64.4,55,1,4.61,CA,1627773617
Castro,-24.7911,-50.0119,47.32,76,98,4.21,BR,1627773617
Hambantota,6.1241,81.1185,78.91,82,69,16.73,LK,1627773617
Cherskiy,68.75,161.3,41.38,92,100,13.98,RU,1627773034
Tonstad,58.6626,6.7169,56.53,81,98,21.16,NO,1627773618
